Date,Level,Topic,Duration,Score,Stars
2026-04-18,1,Basics: Greetings & Introductions,8 min,850,3
2026-04-18,2,Colors & Numbers 1-10,12 min,920,3
2026-04-19,3,Family Members,10 min,780,2
2026-04-19,4,Food & Drinks Vocabulary,15 min,1100,3
2026-04-20,5,Daily Routines,9 min,830,3
2026-04-20,6,Places Around Town,14 min,960,3
2026-04-21,7,Days of the Week & Months,11 min,700,2
2026-04-21,8,Animals & Nature,13 min,1050,3
2026-04-22,9,Weather & Seasons,10 min,890,3
2026-04-22,10,Review Level: Mixed Vocabulary,18 min,1200,3
2026-04-23,11,Present Tense: To Be,12 min,750,2
2026-04-23,12,Present Tense: Regular Verbs,16 min,980,3
2026-04-24,13,Question Words,9 min,840,3
2026-04-24,14,Adjectives & Opposites,14 min,1100,3
2026-04-25,15,At the Restaurant,17 min,1300,3
2026-04-25,16,Travel & Directions,11 min,920,3
2026-04-26,17,Shopping & Money,13 min,870,2
2026-04-26,18,Review Level: Grammar Basics,20 min,1450,3
2026-04-27,19,Past Tense: Was/Were,10 min,810,3
2026-04-27,20,Past Tense: Regular Verbs,15 min,1050,3
2026-04-28,21,Irregular Past Tense Verbs,14 min,930,3
2026-04-28,22,Describing People & Places,12 min,880,2
2026-04-29,23,Future Tense: Will,11 min,950,3
2026-04-29,24,Future Tense: Going To,13 min,1020,3
2026-04-30,25,Comparatives & Superlatives,16 min,1180,3
2026-04-30,26,Mini Dialogue: At the Airport,19 min,1340,3
2026-05-01,27,Idioms & Expressions,10 min,760,2
2026-05-01,28,Review Level: All Tenses,22 min,1500,3
2026-05-02,29,Country & Nationalities,8 min,690,2
2026-05-02,30,Final Challenge: Language Master,25 min,1850,3
